device_id,cipher_suites,tls_version,extension_types,sni,cipher_code,ciphersuite_len,cipher_code_idxl
s78c624d016,4867+4865+4866+52393+52392+49195+49199+49196+49200+49171+49172+156+157+47+53+10,771,0+23+65281+10+11+35+16+5+13+18+51+45+43+27+41,clients4.google.com,"['4867', '4865', '4866', '52393', '52392', '49195', '49199', '49196', '49200', '49171', '49172', '156', '157', '47', '53', '10']",16,"['4867:0', '4865:1', '4866:2', '52393:3', '52392:4', '49195:5', '49199:6', '49196:7', '49200:8', '49171:9', '49172:10', '156:11', '157:12', '47:13', '53:14', '10:15']"
s76189a29af,4865+4866+4867+49195+49199+49196+49200+52393+52392+49171+49172+156+157+47+53+10,771,0+23+65281+10+11+35+16+5+13+18+51+45+43+27+21,use.fontawesome.com,"['4865', '4866', '4867', '49195', '49199', '49196', '49200', '52393', '52392', '49171', '49172', '156', '157', '47', '53', '10']",16,"['4865:0', '4866:1', '4867:2', '49195:3', '49199:4', '49196:5', '49200:6', '52393:7', '52392:8', '49171:9', '49172:10', '156:11', '157:12', '47:13', '53:14', '10:15']"
sa4e7abfa14,52393+52392+49195+49199+49196+49200+49171+49172+156+157+47+53+10,771,0+23+65281+10+11+35+16+5+13+18+27+2570,tpc.googlesyndication.com,"['52393', '52392', '49195', '49199', '49196', '49200', '49171', '49172', '156', '157', '47', '53', '10']",13,"['52393:0', '52392:1', '49195:2', '49199:3', '49196:4', '49200:5', '49171:6', '49172:7', '156:8', '157:9', '47:10', '53:11', '10:12']"
s337c1229f0,4867+4865+4866+49196+49195+49188+49187+49162+49161+52393+49200+49199+49192+49191+49172+49171+52392+157+156+61+60+53+47+49160+49170+10,771,65281+0+23+13+5+13172+18+16+11+51+45+43+10+21,p.tvpixel.com,"['4867', '4865', '4866', '49196', '49195', '49188', '49187', '49162', '49161', '52393', '49200', '49199', '49192', '49191', '49172', '49171', '52392', '157', '156', '61', '60', '53', '47', '49160', '49170', '10']",26,"['4867:0', '4865:1', '4866:2', '49196:3', '49195:4', '49188:5', '49187:6', '49162:7', '49161:8', '52393:9', '49200:10', '49199:11', '49192:12', '49191:13', '49172:14', '49171:15', '52392:16', '157:17', '156:18', '61:19', '60:20', '53:21', '47:22', '49160:23', '49170:24', '10:25']"
s000859518c,49195+49187+49196+49188+49199+49191+49200+49192+255,771,0+11+10+13+15+13172+16,ipv4-c243-atl001-ix.1.oca.nflxvideo.net,"['49195', '49187', '49196', '49188', '49199', '49191', '49200', '49192', '255']",9,"['49195:0', '49187:1', '49196:2', '49188:3', '49199:4', '49191:5', '49200:6', '49192:7', '255:8']"
sf471ab07e8,4867+4865+4866+52393+52392+49195+49199+49196+49200+49171+49172+156+157+47+53+10,771,0+23+65281+10+11+35+16+5+13+18+51+45+43+27+41,android.googleapis.com,"['4867', '4865', '4866', '52393', '52392', '49195', '49199', '49196', '49200', '49171', '49172', '156', '157', '47', '53', '10']",16,"['4867:0', '4865:1', '4866:2', '52393:3', '52392:4', '49195:5', '49199:6', '49196:7', '49200:8', '49171:9', '49172:10', '156:11', '157:12', '47:13', '53:14', '10:15']"
s1c8491dbf2,49200+49196+49192+49188+49172+49162+165+163+161+159+107+106+105+104+57+56+55+54+49202+49198+49194+49190+49167+49157+157+61+53+49199+49195+49191+49187+49171+49161+164+162+160+158+103+64+63+62+51+50+49+48+154+153+152+151+49201+49197+49193+49189+49166+49156+156+60+47+150+49170+49160+22+19+16+13+49165+49155+10+255,771,0+11+10+13+15+13172+16+21,otnprd9.samsungcloudsolution.net,"['49200', '49196', '49192', '49188', '49172', '49162', '165', '163', '161', '159', '107', '106', '105', '104', '57', '56', '55', '54', '49202', '49198', '49194', '49190', '49167', '49157', '157', '61', '53', '49199', '49195', '49191', '49187', '49171', '49161', '164', '162', '160', '158', '103', '64', '63', '62', '51', '50', '49', '48', '154', '153', '152', '151', '49201', '49197', '49193', '49189', '49166', '49156', '156', '60', '47', '150', '49170', '49160', '22', '19', '16', '13', '49165', '49155', '10', '255']",69,"['49200:0', '49196:1', '49192:2', '49188:3', '49172:4', '49162:5', '165:6', '163:7', '161:8', '159:9', '107:10', '106:11', '105:12', '104:13', '57:14', '56:15', '55:16', '54:17', '49202:18', '49198:19', '49194:20', '49190:21', '49167:22', '49157:23', '157:24', '61:25', '53:26', '49199:27', '49195:28', '49191:29', '49187:30', '49171:31', '49161:32', '164:33', '162:34', '160:35', '158:36', '103:37', '64:38', '63:39', '62:40', '51:41', '50:42', '49:43', '48:44', '154:45', '153:46', '152:47', '151:48', '49201:49', '49197:50', '49193:51', '49189:52', '49166:53', '49156:54', '156:55', '60:56', '47:57', '150:58', '49170:59', '49160:60', '22:61', '19:62', '16:63', '13:64', '49165:65', '49155:66', '10:67', '255:68']"
sfefab8724e,49196+49195+49188+49187+49162+49161+52393+49200+49199+49192+49191+49172+49171+52392,771,65281+0+23+13+5+18+11+10,fishdom.playrix.com,"['49196', '49195', '49188', '49187', '49162', '49161', '52393', '49200', '49199', '49192', '49191', '49172', '49171', '52392']",14,"['49196:0', '49195:1', '49188:2', '49187:3', '49162:4', '49161:5', '52393:6', '49200:7', '49199:8', '49192:9', '49191:10', '49172:11', '49171:12', '52392:13']"
s2218a59e45,49196+49195+49200+49199+159+158+49188+49187+49192+49191+49162+49161+49172+49171+157+156+61+60+53+47+10,771,0+5+10+11+13+35+16+23+65281,v10.events.data.microsoft.com,"['49196', '49195', '49200', '49199', '159', '158', '49188', '49187', '49192', '49191', '49162', '49161', '49172', '49171', '157', '156', '61', '60', '53', '47', '10']",21,"['49196:0', '49195:1', '49200:2', '49199:3', '159:4', '158:5', '49188:6', '49187:7', '49192:8', '49191:9', '49162:10', '49161:11', '49172:12', '49171:13', '157:14', '156:15', '61:16', '60:17', '53:18', '47:19', '10:20']"
s0746560305,4867+4865+4866+52393+52392+49195+49199+49196+49200+49171+49172+156+157+47+53+10,771,0+23+65281+10+11+35+16+5+13+18+51+45+43+27+21,www.youtube.com,"['4867', '4865', '4866', '52393', '52392', '49195', '49199', '49196', '49200', '49171', '49172', '156', '157', '47', '53', '10']",16,"['4867:0', '4865:1', '4866:2', '52393:3', '52392:4', '49195:5', '49199:6', '49196:7', '49200:8', '49171:9', '49172:10', '156:11', '157:12', '47:13', '53:14', '10:15']"
