ciphersuite,count,code_1sthalf,code_2ndhalf,code,cipher_y,dtls_ok,recommended,ref,key_exchange,mac,cipher,code_base10
0xc029,1738,0xc0,0x29,"0xc0,0x29",TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256,Y,N,[RFC5289],tls_ecdh_rsa,sha256,aes_128_cbc,49193
0xc026,1738,0xc0,0x26,"0xc0,0x26",TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384,Y,N,[RFC5289],tls_ecdh_ecdsa,sha384,aes_256_cbc,49190
0xc025,1737,0xc0,0x25,"0xc0,0x25",TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256,Y,N,[RFC5289],tls_ecdh_ecdsa,sha256,aes_128_cbc,49189
0xc032,1736,0xc0,0x32,"0xc0,0x32",TLS_ECDH_RSA_WITH_AES_256_GCM_SHA384,Y,N,[RFC5289],tls_ecdh_rsa,sha384,aes_256_gcm,49202
0xc02e,1736,0xc0,0x2e,"0xc0,0x2e",TLS_ECDH_ECDSA_WITH_AES_256_GCM_SHA384,Y,N,[RFC5289],tls_ecdh_ecdsa,sha384,aes_256_gcm,49198
0x6a,1735,0x00,0x6a,"0x00,0x6a",TLS_DHE_DSS_WITH_AES_256_CBC_SHA256,Y,N,[RFC5246],tls_dhe_dss,sha256,aes_256_cbc,106
0xc031,1734,0xc0,0x31,"0xc0,0x31",TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256,Y,N,[RFC5289],tls_ecdh_rsa,sha256,aes_128_gcm,49201
0xc02d,1734,0xc0,0x2d,"0xc0,0x2d",TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256,Y,N,[RFC5289],tls_ecdh_ecdsa,sha256,aes_128_gcm,49197
0xa3,1723,0x00,0xa3,"0x00,0xa3",TLS_DHE_DSS_WITH_AES_256_GCM_SHA384,Y,N,[RFC5288],tls_dhe_dss,sha384,aes_256_gcm,163
0xc00d,1671,0xc0,0x0d,"0xc0,0x0d",TLS_ECDH_RSA_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC8422],tls_ecdh_rsa,sha,3des_ede_cbc,49165
0xc003,1669,0xc0,0x03,"0xc0,0x03",TLS_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC8422],tls_ecdh_ecdsa,sha,3des_ede_cbc,49155
0x88,1450,0x00,0x88,"0x00,0x88",TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA,Y,N,[RFC5932],tls_dhe_rsa,sha,camellia_256_cbc,136
0x45,1449,0x00,0x45,"0x00,0x45",TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA,Y,N,[RFC5932],tls_dhe_rsa,sha,camellia_128_cbc,69
0x41,1449,0x00,0x41,"0x00,0x41",TLS_RSA_WITH_CAMELLIA_128_CBC_SHA,Y,N,[RFC5932],tls_rsa,sha,camellia_128_cbc,65
0x84,1445,0x00,0x84,"0x00,0x84",TLS_RSA_WITH_CAMELLIA_256_CBC_SHA,Y,N,[RFC5932],tls_rsa,sha,camellia_256_cbc,132
0x31,1423,0x00,0x31,"0x00,0x31",TLS_DH_RSA_WITH_AES_128_CBC_SHA,Y,N,[RFC5246],tls_dh_rsa,sha,aes_128_cbc,49
0x37,1420,0x00,0x37,"0x00,0x37",TLS_DH_RSA_WITH_AES_256_CBC_SHA,Y,N,[RFC5246],tls_dh_rsa,sha,aes_256_cbc,55
0x36,1419,0x00,0x36,"0x00,0x36",TLS_DH_DSS_WITH_AES_256_CBC_SHA,Y,N,[RFC5246],tls_dh_dss,sha,aes_256_cbc,54
0x30,1419,0x00,0x30,"0x00,0x30",TLS_DH_DSS_WITH_AES_128_CBC_SHA,Y,N,[RFC5246],tls_dh_dss,sha,aes_128_cbc,48
0x5,1406,0x00,0x05,"0x00,0x05",TLS_RSA_WITH_RC4_128_SHA,N,N,[RFC5246][RFC6347],tls_rsa,sha,rc4_128,5
0x87,1380,0x00,0x87,"0x00,0x87",TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA,Y,N,[RFC5932],tls_dhe_dss,sha,camellia_256_cbc,135
0x44,1379,0x00,0x44,"0x00,0x44",TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA,Y,N,[RFC5932],tls_dhe_dss,sha,camellia_128_cbc,68
0xa0,1378,0x00,0xa0,"0x00,0xa0",TLS_DH_RSA_WITH_AES_128_GCM_SHA256,Y,N,[RFC5288],tls_dh_rsa,sha256,aes_128_gcm,160
0xa4,1376,0x00,0xa4,"0x00,0xa4",TLS_DH_DSS_WITH_AES_128_GCM_SHA256,Y,N,[RFC5288],tls_dh_dss,sha256,aes_128_gcm,164
0xa1,1358,0x00,0xa1,"0x00,0xa1",TLS_DH_RSA_WITH_AES_256_GCM_SHA384,Y,N,[RFC5288],tls_dh_rsa,sha384,aes_256_gcm,161
0xa5,1358,0x00,0xa5,"0x00,0xa5",TLS_DH_DSS_WITH_AES_256_GCM_SHA384,Y,N,[RFC5288],tls_dh_dss,sha384,aes_256_gcm,165
0x3f,1357,0x00,0x3f,"0x00,0x3f",TLS_DH_RSA_WITH_AES_128_CBC_SHA256,Y,N,[RFC5246],tls_dh_rsa,sha256,aes_128_cbc,63
0x68,1356,0x00,0x68,"0x00,0x68",TLS_DH_DSS_WITH_AES_256_CBC_SHA256,Y,N,[RFC5246],tls_dh_dss,sha256,aes_256_cbc,104
0x3e,1356,0x00,0x3e,"0x00,0x3e",TLS_DH_DSS_WITH_AES_128_CBC_SHA256,Y,N,[RFC5246],tls_dh_dss,sha256,aes_128_cbc,62
0x69,1355,0x00,0x69,"0x00,0x69",TLS_DH_RSA_WITH_AES_256_CBC_SHA256,Y,N,[RFC5246],tls_dh_rsa,sha256,aes_256_cbc,105
0xc011,1325,0xc0,0x11,"0xc0,0x11",TLS_ECDHE_RSA_WITH_RC4_128_SHA,N,N,[RFC8422][RFC6347],tls_dhe_rsa,sha,rc4_128,49169
0xc007,1305,0xc0,0x07,"0xc0,0x07",TLS_ECDHE_ECDSA_WITH_RC4_128_SHA,N,N,[RFC8422][RFC6347],tls_ecdhe_ecdsa,sha,rc4_128,49159
0xd,1294,0x00,0x0d,"0x00,0x0d",TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC5246],tls_dh_dss,sha,3des_ede_cbc,13
0x10,1292,0x00,0x10,"0x00,0x10",TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC5246],tls_dh_rsa,sha,3des_ede_cbc,16
0x86,1205,0x00,0x86,"0x00,0x86",TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA,Y,N,[RFC5932],tls_dh_rsa,sha,camellia_256_cbc,134
0x85,1205,0x00,0x85,"0x00,0x85",TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA,Y,N,[RFC5932],tls_dh_dss,sha,camellia_256_cbc,133
0x43,1204,0x00,0x43,"0x00,0x43",TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA,Y,N,[RFC5932],tls_dh_rsa,sha,camellia_128_cbc,67
0x42,1204,0x00,0x42,"0x00,0x42",TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA,Y,N,[RFC5932],tls_dh_dss,sha,camellia_128_cbc,66
0x9a,1085,0x00,0x9a,"0x00,0x9a",TLS_DHE_RSA_WITH_SEED_CBC_SHA,Y,N,[RFC4162],tls_dhe_rsa,sha,seed_cbc,154
0x96,1084,0x00,0x96,"0x00,0x96",TLS_RSA_WITH_SEED_CBC_SHA,Y,N,[RFC4162],tls_rsa,sha,seed_cbc,150
0x99,1083,0x00,0x99,"0x00,0x99",TLS_DHE_DSS_WITH_SEED_CBC_SHA,Y,N,[RFC4162],tls_dhe_dss,sha,seed_cbc,153
0x98,952,0x00,0x98,"0x00,0x98",TLS_DH_RSA_WITH_SEED_CBC_SHA,Y,N,[RFC4162],tls_dh_rsa,sha,seed_cbc,152
0x97,951,0x00,0x97,"0x00,0x97",TLS_DH_DSS_WITH_SEED_CBC_SHA,Y,N,[RFC4162],tls_dh_dss,sha,seed_cbc,151
0x7,731,0x00,0x07,"0x00,0x07",TLS_RSA_WITH_IDEA_CBC_SHA,Y,N,[RFC5469][status-change-tls-des-idea-ciphers-to-historic],tls_rsa,sha,idea_cbc,7
0xc00c,614,0xc0,0x0c,"0xc0,0x0c",TLS_ECDH_RSA_WITH_RC4_128_SHA,N,N,[RFC8422][RFC6347],tls_ecdh_rsa,sha,rc4_128,49164
0xc002,613,0xc0,0x02,"0xc0,0x02",TLS_ECDH_ECDSA_WITH_RC4_128_SHA,N,N,[RFC8422][RFC6347],tls_ecdh_ecdsa,sha,rc4_128,49154
0x4,608,0x00,0x04,"0x00,0x04",TLS_RSA_WITH_RC4_128_MD5,N,N,[RFC5246][RFC6347],tls_rsa,md5,rc4_128,4
0x15,300,0x00,0x15,"0x00,0x15",TLS_DHE_RSA_WITH_DES_CBC_SHA,Y,N,[RFC5469][status-change-tls-des-idea-ciphers-to-historic],tls_dhe_rsa,sha,des_cbc,21
0x12,297,0x00,0x12,"0x00,0x12",TLS_DHE_DSS_WITH_DES_CBC_SHA,Y,N,[RFC5469][status-change-tls-des-idea-ciphers-to-historic],tls_dhe_dss,sha,des_cbc,18
0x9,292,0x00,0x09,"0x00,0x09",TLS_RSA_WITH_DES_CBC_SHA,Y,N,[RFC5469][status-change-tls-des-idea-ciphers-to-historic],tls_rsa,sha,des_cbc,9
0x8,238,0x00,0x08,"0x00,0x08",TLS_RSA_EXPORT_WITH_DES40_CBC_SHA,Y,N,[RFC4346],tls_rsa,sha,des40_cbc,8
0x14,238,0x00,0x14,"0x00,0x14",TLS_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA,Y,N,[RFC4346],tls_dhe_rsa,sha,des40_cbc,20
0x3,237,0x00,0x03,"0x00,0x03",TLS_RSA_EXPORT_WITH_RC4_40_MD5,N,N,[RFC4346][RFC6347],tls_rsa,md5,rc4_40,3
0x11,234,0x00,0x11,"0x00,0x11",TLS_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA,Y,N,[RFC4346],tls_dhe_dss,sha,des40_cbc,17
0xcc13,224,0xcc,0x13,"0xcc,0x13",TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,,,tls_dhe_rsa,sha256,chacha20_poly1305,52243
0xcc14,223,0xcc,0x14,"0xcc,0x14",TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,,,,tls_ecdhe_ecdsa,sha256,chacha20_poly1305,52244
0x6,219,0x00,0x06,"0x00,0x06",TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5,Y,N,[RFC4346],tls_rsa,md5,rc2_cbc_40,6
0xccaa,191,0xcc,0xaa,"0xcc,0xaa",TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256,Y,Y,[RFC7905],tls_dhe_rsa,sha256,chacha20_poly1305,52394
0xc0ae,140,0xc0,0xae,"0xc0,0xae",TLS_ECDHE_ECDSA_WITH_AES_128_CCM_8,Y,N,[RFC7251],tls_ecdhe_ecdsa,sha256,aes_128_ccm_8,49326
0xc0ac,134,0xc0,0xac,"0xc0,0xac",TLS_ECDHE_ECDSA_WITH_AES_128_CCM,Y,N,[RFC7251],tls_ecdhe_ecdsa,sha256,aes_128_ccm,49324
0xc09d,126,0xc0,0x9d,"0xc0,0x9d",TLS_RSA_WITH_AES_256_CCM,Y,N,[RFC6655],tls_rsa,sha256,aes_256_ccm,49309
0xc09c,125,0xc0,0x9c,"0xc0,0x9c",TLS_RSA_WITH_AES_128_CCM,Y,N,[RFC6655],tls_rsa,sha256,aes_128_ccm,49308
0xba,121,0x00,0xba,"0x00,0xba",TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256,Y,N,[RFC5932],tls_rsa,sha256,camellia_128_cbc,186
0xc0,120,0x00,0xc0,"0x00,0xc0",TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256,Y,N,[RFC5932],tls_rsa,sha256,camellia_256_cbc,192
0xbe,120,0x00,0xbe,"0x00,0xbe",TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256,Y,N,[RFC5932],tls_dhe_rsa,sha256,camellia_128_cbc,190
0xc4,119,0x00,0xc4,"0x00,0xc4",TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256,Y,N,[RFC5932],tls_dhe_rsa,sha256,camellia_256_cbc,196
0xc09e,115,0xc0,0x9e,"0xc0,0x9e",TLS_DHE_RSA_WITH_AES_128_CCM,Y,Y,[RFC6655],tls_dhe_rsa,sha256,aes_128_ccm,49310
0xc09f,113,0xc0,0x9f,"0xc0,0x9f",TLS_DHE_RSA_WITH_AES_256_CCM,Y,Y,[RFC6655],tls_dhe_rsa,sha256,aes_256_ccm,49311
0xc0ad,111,0xc0,0xad,"0xc0,0xad",TLS_ECDHE_ECDSA_WITH_AES_256_CCM,Y,N,[RFC7251],tls_ecdhe_ecdsa,sha256,aes_256_ccm,49325
0xc0af,104,0xc0,0xaf,"0xc0,0xaf",TLS_ECDHE_ECDSA_WITH_AES_256_CCM_8,Y,N,[RFC7251],tls_ecdhe_ecdsa,sha256,aes_256_ccm_8,49327
0xc0a1,104,0xc0,0xa1,"0xc0,0xa1",TLS_RSA_WITH_AES_256_CCM_8,Y,N,[RFC6655],tls_rsa,sha256,aes_256_ccm_8,49313
0xc0a0,103,0xc0,0xa0,"0xc0,0xa0",TLS_RSA_WITH_AES_128_CCM_8,Y,N,[RFC6655],tls_rsa,sha256,aes_128_ccm_8,49312
0xc077,99,0xc0,0x77,"0xc0,0x77",TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384,Y,N,[RFC6367],tls_dhe_rsa,sha384,camellia_256_cbc,49271
0xc072,99,0xc0,0x72,"0xc0,0x72",TLS_ECDHE_ECDSA_WITH_CAMELLIA_128_CBC_SHA256,Y,N,[RFC6367],tls_ecdhe_ecdsa,sha256,camellia_128_cbc,49266
0xc076,99,0xc0,0x76,"0xc0,0x76",TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256,Y,N,[RFC6367],tls_dhe_rsa,sha256,camellia_128_cbc,49270
0xc073,98,0xc0,0x73,"0xc0,0x73",TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_CBC_SHA384,Y,N,[RFC6367],tls_ecdhe_ecdsa,sha384,camellia_256_cbc,49267
0xc0a2,92,0xc0,0xa2,"0xc0,0xa2",TLS_DHE_RSA_WITH_AES_128_CCM_8,Y,N,[RFC6655],tls_dhe_rsa,sha256,aes_128_ccm_8,49314
0xc0a3,89,0xc0,0xa3,"0xc0,0xa3",TLS_DHE_RSA_WITH_AES_256_CCM_8,N,N,[RFC6655],tls_dhe_rsa,sha256,aes_256_ccm_8,49315
0xc07d,78,0xc0,0x7d,"0xc0,0x7d",TLS_DHE_RSA_WITH_CAMELLIA_256_GCM_SHA384,Y,N,[RFC6367],tls_dhe_rsa,sha384,camellia_256_gcm,49277
0xc07c,78,0xc0,0x7c,"0xc0,0x7c",TLS_DHE_RSA_WITH_CAMELLIA_128_GCM_SHA256,Y,N,[RFC6367],tls_dhe_rsa,sha256,camellia_128_gcm,49276
0xc07b,78,0xc0,0x7b,"0xc0,0x7b",TLS_RSA_WITH_CAMELLIA_256_GCM_SHA384,Y,N,[RFC6367],tls_rsa,sha384,camellia_256_gcm,49275
0xc087,78,0xc0,0x87,"0xc0,0x87",TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_GCM_SHA384,Y,N,[RFC6367],tls_ecdhe_ecdsa,sha384,camellia_256_gcm,49287
0xc08b,78,0xc0,0x8b,"0xc0,0x8b",TLS_ECDHE_RSA_WITH_CAMELLIA_256_GCM_SHA384,Y,N,[RFC6367],tls_dhe_rsa,sha384,camellia_256_gcm,49291
0xc018,77,0xc0,0x18,"0xc0,0x18",TLS_ECDH_anon_WITH_AES_128_CBC_SHA,Y,N,[RFC8422],tls_ecdh_anon,sha,aes_128_cbc,49176
0xc07a,77,0xc0,0x7a,"0xc0,0x7a",TLS_RSA_WITH_CAMELLIA_128_GCM_SHA256,Y,N,[RFC6367],tls_rsa,sha256,camellia_128_gcm,49274
0xc08a,77,0xc0,0x8a,"0xc0,0x8a",TLS_ECDHE_RSA_WITH_CAMELLIA_128_GCM_SHA256,Y,N,[RFC6367],tls_dhe_rsa,sha256,camellia_128_gcm,49290
0xc086,77,0xc0,0x86,"0xc0,0x86",TLS_ECDHE_ECDSA_WITH_CAMELLIA_128_GCM_SHA256,Y,N,[RFC6367],tls_ecdhe_ecdsa,sha256,camellia_128_gcm,49286
0xc019,76,0xc0,0x19,"0xc0,0x19",TLS_ECDH_anon_WITH_AES_256_CBC_SHA,Y,N,[RFC8422],tls_ecdh_anon,sha,aes_256_cbc,49177
0xc,65,0x00,0x0c,"0x00,0x0c",TLS_DH_DSS_WITH_DES_CBC_SHA,Y,N,[RFC5469][status-change-tls-des-idea-ciphers-to-historic],tls_dh_dss,sha,des_cbc,12
0xf,64,0x00,0x0f,"0x00,0x0f",TLS_DH_RSA_WITH_DES_CBC_SHA,Y,N,[RFC5469][status-change-tls-des-idea-ciphers-to-historic],tls_dh_rsa,sha,des_cbc,15
0x34,55,0x00,0x34,"0x00,0x34",TLS_DH_anon_WITH_AES_128_CBC_SHA,Y,N,[RFC5246],tls_dh_anon,sha,aes_128_cbc,52
0xc3,53,0x00,0xc3,"0x00,0xc3",TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA256,Y,N,[RFC5932],tls_dhe_dss,sha256,camellia_256_cbc,195
0xbd,53,0x00,0xbd,"0x00,0xbd",TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA256,Y,N,[RFC5932],tls_dhe_dss,sha256,camellia_128_cbc,189
0xc017,52,0xc0,0x17,"0xc0,0x17",TLS_ECDH_anon_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC8422],tls_ecdh_anon,sha,3des_ede_cbc,49175
0x3a,47,0x00,0x3a,"0x00,0x3a",TLS_DH_anon_WITH_AES_256_CBC_SHA,Y,N,[RFC5246],tls_dh_anon,sha,aes_256_cbc,58
0xc0a8,46,0xc0,0xa8,"0xc0,0xa8",TLS_PSK_WITH_AES_128_CCM_8,Y,N,[RFC6655],tls_psk,sha256,aes_128_ccm_8,49320
0xc037,46,0xc0,0x37,"0xc0,0x37",TLS_ECDHE_PSK_WITH_AES_128_CBC_SHA256,Y,N,[RFC5489],tls_ecdhe_psk,sha256,aes_128_cbc,49207
0xc016,45,0xc0,0x16,"0xc0,0x16",TLS_ECDH_anon_WITH_RC4_128_SHA,N,N,[RFC8422][RFC6347],tls_ecdh_anon,sha,rc4_128,49174
0xc022,41,0xc0,0x22,"0xc0,0x22",TLS_SRP_SHA_DSS_WITH_AES_256_CBC_SHA,Y,N,[RFC5054],tls_srp_sha_dss,sha,aes_256_cbc,49186
0xc021,41,0xc0,0x21,"0xc0,0x21",TLS_SRP_SHA_RSA_WITH_AES_256_CBC_SHA,Y,N,[RFC5054],tls_srp_sha_rsa,sha,aes_256_cbc,49185
0x6d,41,0x00,0x6d,"0x00,0x6d",TLS_DH_anon_WITH_AES_256_CBC_SHA256,Y,N,[RFC5246],tls_dh_anon,sha256,aes_256_cbc,109
0x46,41,0x00,0x46,"0x00,0x46",TLS_DH_anon_WITH_CAMELLIA_128_CBC_SHA,Y,N,[RFC5932],tls_dh_anon,sha,camellia_128_cbc,70
0x89,40,0x00,0x89,"0x00,0x89",TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA,Y,N,[RFC5932],tls_dh_anon,sha,camellia_256_cbc,137
0xa7,40,0x00,0xa7,"0x00,0xa7",TLS_DH_anon_WITH_AES_256_GCM_SHA384,Y,N,[RFC5288],tls_dh_anon,sha384,aes_256_gcm,167
0x6c,40,0x00,0x6c,"0x00,0x6c",TLS_DH_anon_WITH_AES_128_CBC_SHA256,Y,N,[RFC5246],tls_dh_anon,sha256,aes_128_cbc,108
0xc01e,40,0xc0,0x1e,"0xc0,0x1e",TLS_SRP_SHA_RSA_WITH_AES_128_CBC_SHA,Y,N,[RFC5054],tls_srp_sha_rsa,sha,aes_128_cbc,49182
0xa6,39,0x00,0xa6,"0x00,0xa6",TLS_DH_anon_WITH_AES_128_GCM_SHA256,Y,N,[RFC5288],tls_dh_anon,sha256,aes_128_gcm,166
0xc01f,39,0xc0,0x1f,"0xc0,0x1f",TLS_SRP_SHA_DSS_WITH_AES_128_CBC_SHA,Y,N,[RFC5054],tls_srp_sha_dss,sha,aes_128_cbc,49183
0xc01c,39,0xc0,0x1c,"0xc0,0x1c",TLS_SRP_SHA_DSS_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC5054],tls_srp_sha_dss,sha,3des_ede_cbc,49180
0xc01b,39,0xc0,0x1b,"0xc0,0x1b",TLS_SRP_SHA_RSA_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC5054],tls_srp_sha_rsa,sha,3des_ede_cbc,49179
0xae,39,0x00,0xae,"0x00,0xae",TLS_PSK_WITH_AES_128_CBC_SHA256,Y,N,[RFC5487],tls_psk,sha256,aes_128_cbc,174
0x18,34,0x00,0x18,"0x00,0x18",TLS_DH_anon_WITH_RC4_128_MD5,N,N,[RFC5246][RFC6347],tls_dh_anon,md5,rc4_128,24
0x8c,33,0x00,0x8c,"0x00,0x8c",TLS_PSK_WITH_AES_128_CBC_SHA,Y,N,[RFC4279],tls_psk,sha,aes_128_cbc,140
0x8d,32,0x00,0x8d,"0x00,0x8d",TLS_PSK_WITH_AES_256_CBC_SHA,Y,N,[RFC4279],tls_psk,sha,aes_256_cbc,141
0xaf,32,0x00,0xaf,"0x00,0xaf",TLS_PSK_WITH_AES_256_CBC_SHA384,Y,N,[RFC5487],tls_psk,sha384,aes_256_cbc,175
0x9b,32,0x00,0x9b,"0x00,0x9b",TLS_DH_anon_WITH_SEED_CBC_SHA,Y,N,[RFC4162],tls_dh_anon,sha,seed_cbc,155
0xc093,31,0xc0,0x93,"0xc0,0x93",TLS_RSA_PSK_WITH_CAMELLIA_256_GCM_SHA384,Y,N,[RFC6367],tls_rsa,sha384,camellia_256_gcm,49299
0xc094,31,0xc0,0x94,"0xc0,0x94",TLS_PSK_WITH_CAMELLIA_128_CBC_SHA256,Y,N,[RFC6367],tls_psk,sha256,camellia_128_cbc,49300
0xc08e,31,0xc0,0x8e,"0xc0,0x8e",TLS_PSK_WITH_CAMELLIA_128_GCM_SHA256,Y,N,[RFC6367],tls_psk,sha256,camellia_128_gcm,49294
0xc08c,31,0xc0,0x8c,"0xc0,0x8c",TLS_ECDH_RSA_WITH_CAMELLIA_128_GCM_SHA256,Y,N,[RFC6367],tls_ecdh_rsa,sha256,camellia_128_gcm,49292
0xc0a4,31,0xc0,0xa4,"0xc0,0xa4",TLS_PSK_WITH_AES_128_CCM,Y,N,[RFC6655],tls_psk,sha256,aes_128_ccm,49316
0xa8,31,0x00,0xa8,"0x00,0xa8",TLS_PSK_WITH_AES_128_GCM_SHA256,Y,N,[RFC5487],tls_psk,sha256,aes_128_gcm,168
0xa9,31,0x00,0xa9,"0x00,0xa9",TLS_PSK_WITH_AES_256_GCM_SHA384,Y,N,[RFC5487],tls_psk,sha384,aes_256_gcm,169
0xc088,31,0xc0,0x88,"0xc0,0x88",TLS_ECDH_ECDSA_WITH_CAMELLIA_128_GCM_SHA256,Y,N,[RFC6367],tls_ecdh_ecdsa,sha256,camellia_128_gcm,49288
0x94,31,0x00,0x94,"0x00,0x94",TLS_RSA_PSK_WITH_AES_128_CBC_SHA,Y,N,[RFC4279],tls_rsa,sha,aes_128_cbc,148
0xc0a7,31,0xc0,0xa7,"0xc0,0xa7",TLS_DHE_PSK_WITH_AES_256_CCM,Y,Y,[RFC6655],tls_dhe_psk,sha256,aes_256_ccm,49319
0xc075,31,0xc0,0x75,"0xc0,0x75",TLS_ECDH_ECDSA_WITH_CAMELLIA_256_CBC_SHA384,Y,N,[RFC6367],tls_ecdh_ecdsa,sha384,camellia_256_cbc,49269
0x1b,31,0x00,0x1b,"0x00,0x1b",TLS_DH_anon_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC5246],tls_dh_anon,sha,3des_ede_cbc,27
0xc0a6,31,0xc0,0xa6,"0xc0,0xa6",TLS_DHE_PSK_WITH_AES_128_CCM,Y,Y,[RFC6655],tls_dhe_psk,sha256,aes_128_ccm,49318
0xaa,31,0x00,0xaa,"0x00,0xaa",TLS_DHE_PSK_WITH_AES_128_GCM_SHA256,Y,Y,[RFC5487],tls_dhe_psk,sha256,aes_128_gcm,170
0xc098,30,0xc0,0x98,"0xc0,0x98",TLS_RSA_PSK_WITH_CAMELLIA_128_CBC_SHA256,Y,N,[RFC6367],tls_rsa,sha256,camellia_128_cbc,49304
0xc099,30,0xc0,0x99,"0xc0,0x99",TLS_RSA_PSK_WITH_CAMELLIA_256_CBC_SHA384,Y,N,[RFC6367],tls_rsa,sha384,camellia_256_cbc,49305
0xb6,30,0x00,0xb6,"0x00,0xb6",TLS_RSA_PSK_WITH_AES_128_CBC_SHA256,Y,N,[RFC5487],tls_rsa,sha256,aes_128_cbc,182
0xb2,30,0x00,0xb2,"0x00,0xb2",TLS_DHE_PSK_WITH_AES_128_CBC_SHA256,Y,N,[RFC5487],tls_dhe_psk,sha256,aes_128_cbc,178
0xc0ab,30,0xc0,0xab,"0xc0,0xab",TLS_PSK_DHE_WITH_AES_256_CCM_8,Y,N,[RFC6655],tls_psk,sha256,aes_256_ccm_8,49323
0xb3,30,0x00,0xb3,"0x00,0xb3",TLS_DHE_PSK_WITH_AES_256_CBC_SHA384,Y,N,[RFC5487],tls_dhe_psk,sha384,aes_256_cbc,179
0xb7,30,0x00,0xb7,"0x00,0xb7",TLS_RSA_PSK_WITH_AES_256_CBC_SHA384,Y,N,[RFC5487],tls_rsa,sha384,aes_256_cbc,183
0xc09a,30,0xc0,0x9a,"0xc0,0x9a",TLS_ECDHE_PSK_WITH_CAMELLIA_128_CBC_SHA256,Y,N,[RFC6367],tls_ecdhe_psk,sha256,camellia_128_cbc,49306
0xad,30,0x00,0xad,"0x00,0xad",TLS_RSA_PSK_WITH_AES_256_GCM_SHA384,Y,N,[RFC5487],tls_rsa,sha384,aes_256_gcm,173
0xc0a9,30,0xc0,0xa9,"0xc0,0xa9",TLS_PSK_WITH_AES_256_CCM_8,Y,N,[RFC6655],tls_psk,sha256,aes_256_ccm_8,49321
0xab,30,0x00,0xab,"0x00,0xab",TLS_DHE_PSK_WITH_AES_256_GCM_SHA384,Y,Y,[RFC5487],tls_dhe_psk,sha384,aes_256_gcm,171
0xc090,30,0xc0,0x90,"0xc0,0x90",TLS_DHE_PSK_WITH_CAMELLIA_128_GCM_SHA256,Y,N,[RFC6367],tls_dhe_psk,sha256,camellia_128_gcm,49296
0xc096,30,0xc0,0x96,"0xc0,0x96",TLS_DHE_PSK_WITH_CAMELLIA_128_CBC_SHA256,Y,N,[RFC6367],tls_dhe_psk,sha256,camellia_128_cbc,49302
0xc078,30,0xc0,0x78,"0xc0,0x78",TLS_ECDH_RSA_WITH_CAMELLIA_128_CBC_SHA256,Y,N,[RFC6367],tls_ecdh_rsa,sha256,camellia_128_cbc,49272
0xc092,30,0xc0,0x92,"0xc0,0x92",TLS_RSA_PSK_WITH_CAMELLIA_128_GCM_SHA256,Y,N,[RFC6367],tls_rsa,sha256,camellia_128_gcm,49298
0xc091,30,0xc0,0x91,"0xc0,0x91",TLS_DHE_PSK_WITH_CAMELLIA_256_GCM_SHA384,Y,N,[RFC6367],tls_dhe_psk,sha384,camellia_256_gcm,49297
