ciphersuite,count,code_1sthalf,code_2ndhalf,code,cipher_y,dtls_ok,recommended,ref,key_exchange,mac,cipher,code_base10
0xc085,2,0xc0,0x85,"0xc0,0x85",TLS_DH_anon_WITH_CAMELLIA_256_GCM_SHA384,Y,N,[RFC6367],tls_dh_anon,sha384,camellia_256_gcm,49285
0xc082,2,0xc0,0x82,"0xc0,0x82",TLS_DH_DSS_WITH_CAMELLIA_128_GCM_SHA256,Y,N,[RFC6367],tls_dh_dss,sha256,camellia_128_gcm,49282
0x2b,2,0x00,0x2b,"0x00,0x2b",TLS_KRB5_EXPORT_WITH_RC4_40_MD5,N,N,[RFC2712][RFC6347],tls_krb5_export,md5,rc4_40,43
0x2a,2,0x00,0x2a,"0x00,0x2a",TLS_KRB5_EXPORT_WITH_RC2_CBC_40_MD5,Y,N,[RFC2712],tls_krb5_export,md5,rc2_cbc_40,42
0x29,2,0x00,0x29,"0x00,0x29",TLS_KRB5_EXPORT_WITH_DES_CBC_40_MD5,Y,N,[RFC2712],tls_krb5_export,md5,des_cbc_40,41
0x28,2,0x00,0x28,"0x00,0x28",TLS_KRB5_EXPORT_WITH_RC4_40_SHA,N,N,[RFC2712][RFC6347],tls_krb5_export,sha,rc4_40,40
0xc042,2,0xc0,0x42,"0xc0,0x42",TLS_DHE_DSS_WITH_ARIA_128_CBC_SHA256,Y,N,[RFC6209],tls_dhe_dss,sha256,aria_128_cbc,49218
0xc04a,2,0xc0,0x4a,"0xc0,0x4a",TLS_ECDH_ECDSA_WITH_ARIA_128_CBC_SHA256,Y,N,[RFC6209],tls_ecdh_ecdsa,sha256,aria_128_cbc,49226
0xc048,2,0xc0,0x48,"0xc0,0x48",TLS_ECDHE_ECDSA_WITH_ARIA_128_CBC_SHA256,Y,N,[RFC6209],tls_ecdhe_ecdsa,sha256,aria_128_cbc,49224
0xc047,2,0xc0,0x47,"0xc0,0x47",TLS_DH_anon_WITH_ARIA_256_CBC_SHA384,Y,N,[RFC6209],tls_dh_anon,sha384,aria_256_cbc,49223
0xc046,2,0xc0,0x46,"0xc0,0x46",TLS_DH_anon_WITH_ARIA_128_CBC_SHA256,Y,N,[RFC6209],tls_dh_anon,sha256,aria_128_cbc,49222
0x1f,2,0x00,0x1f,"0x00,0x1f",TLS_KRB5_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC2712],tls_krb5,sha,3des_ede_cbc,31
0x1e,2,0x00,0x1e,"0x00,0x1e",TLS_KRB5_WITH_DES_CBC_SHA,Y,N,[RFC2712],tls_krb5,sha,des_cbc,30
0xc043,2,0xc0,0x43,"0xc0,0x43",TLS_DHE_DSS_WITH_ARIA_256_CBC_SHA384,Y,N,[RFC6209],tls_dhe_dss,sha384,aria_256_cbc,49219
0xc041,2,0xc0,0x41,"0xc0,0x41",TLS_DH_RSA_WITH_ARIA_256_CBC_SHA384,Y,N,[RFC6209],tls_dh_rsa,sha384,aria_256_cbc,49217
0xc040,2,0xc0,0x40,"0xc0,0x40",TLS_DH_RSA_WITH_ARIA_128_CBC_SHA256,Y,N,[RFC6209],tls_dh_rsa,sha256,aria_128_cbc,49216
0xc03f,2,0xc0,0x3f,"0xc0,0x3f",TLS_DH_DSS_WITH_ARIA_256_CBC_SHA384,Y,N,[RFC6209],tls_dh_dss,sha384,aria_256_cbc,49215
0xc03e,2,0xc0,0x3e,"0xc0,0x3e",TLS_DH_DSS_WITH_ARIA_128_CBC_SHA256,Y,N,[RFC6209],tls_dh_dss,sha256,aria_128_cbc,49214
0xc03d,2,0xc0,0x3d,"0xc0,0x3d",TLS_RSA_WITH_ARIA_256_CBC_SHA384,Y,N,[RFC6209],tls_rsa,sha384,aria_256_cbc,49213
0xc03b,2,0xc0,0x3b,"0xc0,0x3b",TLS_ECDHE_PSK_WITH_NULL_SHA384,Y,N,[RFC5489],tls_ecdhe_psk,sha384,no_cipher,49211
0xc03a,2,0xc0,0x3a,"0xc0,0x3a",TLS_ECDHE_PSK_WITH_NULL_SHA256,Y,N,[RFC5489],tls_ecdhe_psk,sha256,no_cipher,49210
0x8a,2,0x00,0x8a,"0x00,0x8a",TLS_PSK_WITH_RC4_128_SHA,N,N,[RFC4279][RFC6347],tls_psk,sha,rc4_128,138
0xc033,2,0xc0,0x33,"0xc0,0x33",TLS_ECDHE_PSK_WITH_RC4_128_SHA,N,N,[RFC5489][RFC6347],tls_ecdhe_psk,sha,rc4_128,49203
0x92,2,0x00,0x92,"0x00,0x92",TLS_RSA_PSK_WITH_RC4_128_SHA,N,N,[RFC4279][RFC6347],tls_rsa,sha,rc4_128,146
0xb,2,0x00,0x0b,"0x00,0x0b",TLS_DH_DSS_EXPORT_WITH_DES40_CBC_SHA,Y,N,[RFC4346],tls_dh_dss,sha,des40_cbc,11
0xb0,2,0x00,0xb0,"0x00,0xb0",TLS_PSK_WITH_NULL_SHA256,Y,N,[RFC5487],tls_psk,sha256,no_cipher,176
0xb5,2,0x00,0xb5,"0x00,0xb5",TLS_DHE_PSK_WITH_NULL_SHA384,Y,N,[RFC5487],tls_dhe_psk,sha384,no_cipher,181
